phrase	maxabs+AF8-rating	sentiment
a more immediate mystery in the present	0.89	3
the wonder and menace of growing up	1	3.33
her son's discovery of his homosexuality	0.44	3
a very good time at the cinema	1.11	5.67
the most offensive thing about the movie	1.22	1
the humor and intelligence of the script	0.89	4
the ins and outs of modern moviemaking	1.11	3
the very basic dictums of human decency	0.78	3.33
a deliciously nonsensical comedy about a city	0.11	4.67
the integrity and vision of the band	0.11	4.67
all the outward elements of the original	1.11	3
the most undeserving victim of critical overkill	0.33	1.33
the movie's messages are quite admirable	0.44	5
the meaning and consolation in afterlife communications	0.89	3
a nearly terminal case of the cutes	4.11	5.33
the film's plot may be shallow	0.56	1.67
this silly little puddle of a movie	0.33	2
a sudden lunch rush at the diner	1.22	2.67
a genuinely honest moment in their movie	0.44	5
another regurgitated action movie you're after	0.89	1.67
much of the writing is genuinely witty	1.11	5
the beauty and power of the opera	0.44	4.67
the respected critical community in this country	0.89	3
the physically spectacular qualities of the film	0.44	4.67
his own idiosyncratic strain of kitschy goodwill	0.11	3.33
a high water mark for this genre	1	5
a barely adequate babysitter for older kids	0.44	2
a violent initiation rite for the audience	1.22	2
the vast collective memory of the combatants	0.56	3
a very original artist in his medium	1.33	5.33
an especially poignant portrait of her friendship	1.11	3.67
a pointed little chiller about the frightening seductiveness of new technology	1.56	2.67
a real human soul buried beneath a spellbinding serpent's smirk	1.56	4.67
everyone involved with moviemaking is a con artist and a liar	1.33	0
the film's story does not live up to its style	0.33	1.33
the full visceral impact of a ruthless army on the warpath	0.89	3
the characters' moves are often more predictable than their consequences	0.89	2.33
such a good design turns out to be a cheap knockoff	1	1
this unique and entertaining twist on the classic whale's tale	0.44	4.67
the wit and revolutionary spirit of these performers and their era	0.44	4.67
the modern master of the chase sequence returns with a chase to end all chases	1.11	6
the visuals and eccentricities of many of the characters	1.33	4.33
just a simple fable done in an artless style	2.56	1
a pretty convincing performance as a prissy teenage girl	1.11	4.33
the humor and humanity that root it in feeling	0.56	4
a literary detective story is still a detective story	0.22	3
the author's devotees will probably find it fascinating	0.56	4.33
a compelling dramatic means of addressing a complex situation	0.11	4.33
the issue of faith is not explored very deeply	1.22	1
all of its ideas remain just that: abstract ideas	0.33	1.67
the usual portrayals of good kids and bad seeds	1.11	2
a haunting dramatization of a couple's moral ascension	0.89	3.33
this novelistic story of entangled interrelationships and complex morality	0.56	4
a delicate balance of romantic innocence and philosophical depth	0.56	4.33
the main character travels back and forth between epochs	0.89	3
their screen rapport makes the old story seem new	0.33	5
the momentary joys of pretty and weightless intellectual entertainment	1.89	2
the inner rhythms of love and jealousy and sacrifice	0.56	4
an independent film of satiric fire and emotional turmoil	0.22	4
only a document of the worst possibilities of mankind	1.33	2
the shocking conclusion is too much of a plunge	0.78	1.33
Oscar caliber cast doesn't live up to material	0.89	1.33
a marching band that gets me where I live	0.67	3
perfect black pearls clicking together to form a string	0.56	4.67
the hot topics of the plot	0.89	3
the central flaw of the film	0.89	1.33
a rich tale of our times	0.89	6
all the excitement of eating oatmeal	3	2
these curious owners of architectural oddities	1.22	2.67
the very concept makes you nervous	0.56	2.33
some delightful work on indie projects	0.67	4.67
the comic heights it obviously desired	1.56	2.67
a prolific director of music videos	0.56	3.67
a root cause of gun violence	0.44	2
an audacious tour of the past	1.33	2.67
a fair bit of vampire fun	0.67	4.67
the synergistic impulse that created it	0.67	4
the silent screams of workaday inertia	0.67	2.33
minutely detailed wonders of dreamlike ecstasy	1.11	5.67
the personal touch of manual animation	0.78	4.33
the origin story is well told	0.56	4.67
a serious exploration of nuclear terrorism	1.56	4.33
the sword fighting is well done	0.22	5
the real charm of this trifle	1.44	3.67
the sheer beauty of his images	1.11	5.67
the invisible hand of the marketplace	0.22	3.33
introverted young men with fantasy fetishes	0.44	3.33
its target audience of urban kids	0.44	3.67
this seductive tease of a thriller	0.67	4.67
all the earmarks of a sequel	0.56	4
a sudsy tub of supernatural hokum	1	3.33
a growing strain of daring films	0.44	3.33
the true potential of the medium	1.22	3
a whole segment of pop+AC0-music history	0.11	3.33
the central performers are experienced actors	0.67	4.33
the numerous scenes of gory mayhem	1.89	1.67
all the performances are top notch	1	6
its lackluster gear of emotional blandness	0.67	0.67
the twist endings were actually surprising	0.11	4.33
its own grasp of the absurd	1	3.33
the opulent lushness of every scene	0.33	5
some motion pictures portray ultimate passion	0.67	4
all the charm of a meltdown	1	1.67
the thriller side of this movie	0.33	3.67
filmmakers and performers of this calibre	0.56	3.67
an unflappable air of decadent urbanity	0.33	3.67
the tiny revelations of real life	0.44	3.33
a popular destination for hungry tourists	0.22	4
a long patch of black ice	0.89	2
the intelligence level of the characters	1	3
a bizarre sort of romantic comedy	0.89	3.33
a compelling slice of awkward emotions	1.11	4.67
the mesmerizing performances of the leads	0.56	5.67
the belly laughs of lowbrow comedy	1.56	4.67
a striking style behind the camera	0.89	5.33
a daily grind can kill love	1	1
all the moments of coherent dialogue	1	4.33
a therapeutic zap of shock treatment	1.22	3
the choking sense of hollow despair	1	0.33
the obligatory moments of sentimental ooze	1.44	2
the primitive force of this film	0.89	4
the great minds of our times	0.22	4.67
the videogame series that inspired it	0.78	3.33
a major problem in contemporary society	0.78	1.67
a visceral level that transcends language	0.33	4
the overall impact of the film	0.11	3
a big box of consolation candy	1.22	3.67
a fascinating part of theater history	0.56	5
a pressure cooker of horrified awe	2.56	1
a love song to the movies	0.78	4.67
her inner journey is largely unexplored	0.33	1.67
a great subject for a movie	0.67	5.33
murder and mayhem of this sort	0.44	2.67
the acerbic repartee of the play	0.44	3.67
a celebrated wonder in the spotlight	0.22	5
a true adaptation of her book	0.33	4.67
the exotic world of belly dancing	1.22	3
the ultimate fate of these girls	0.56	3
all the religious and civic virtues that hold society in place	0.56	3.67
the actresses in the lead roles are all more than competent	1.44	5.33
the insight and honesty of this disarming indie	1.11	3.67
an incredibly irritating comedy about thoroughly vacuous people	0.44	0.67
the script's refusal of a happy ending	0.67	2.67
an almost visceral sense of dislocation and change	0.11	3.33
