phrase 1	phrase 1 clean	phrase 2	phrase 2 clean	side to be replaced	SST replacement 1	SST replacement 2	SST replacement 3	SST replacement 4
a more immediate mystery	a more immediate mystery	in the present	in the present	left	a whole segment	the recording industry	the human story	the helping hand
a more immediate mystery	a more immediate mystery	in the present	in the present	right	in its own right	of addressing a complex situation	of painting this family dynamic for the audience	on the brink of womanhood
the wonder and menace	the wonder and menace	of growing up	of growing up	left	the same ideas	the usual portrayals	the normal divisions	the wistful everyday ironies
the wonder and menace	the wonder and menace	of growing up	of growing up	right	of your date	of cultures and generations	of the narratives	of the piece
her son 's discovery	her son's discovery	of his homosexuality	of his homosexuality	left	an action movie	a fair amount	the multiple stories	the casting call
her son 's discovery	her son's discovery	of his homosexuality	of his homosexuality	right	of real life	of both those words	of this true story	of cultures and generations
the most severe kind	the most severe kind	of personal loss	of personal loss	left	the same illogical things	the dull effects	a cold blanket	the very hollowness
the most severe kind	the most severe kind	of personal loss	of personal loss	right	of music videos	of a fall dawn	of the past	of everyday people
the most positive comment	the most positive comment	we can make	we can make	left	the helping hand	the tiniest segment	the dramatic potential	the entire point
the most positive comment	the most positive comment	we can make	we can make	right	that accompanies this human condition	that involves us in the unfolding crisis	that hold society in place	that's at the center of the story
all the dramatic weight	all the dramatic weight	of a raindrop	of a raindrop	left	the thin soup	a muddled drama	a growing strain	the slow buildup
all the dramatic weight	all the dramatic weight	of a raindrop	of a raindrop	right	of love and bloodletting	of pretty and weightless intellectual entertainment	of a clever gimmick	of female friendship
a very good time	a very good time	at the cinema	at the cinema	left	an amazing performance	the funniest jokes	a great actress	a visually masterful work
a very good time	a very good time	at the cinema	at the cinema	right	of this sort	for a movie	of a sequel	of the plot
The most offensive thing	the most offensive thing	about the movie	about the movie	left	the harsh reality	the difficult subject	an unsettled feeling	a growing strain
The most offensive thing	the most offensive thing	about the movie	about the movie	right	about jokester highway patrolmen	of the film's city beginnings	of decadent urbanity	in recent memory
the tooth and claw	the tooth and claw	of human power	of human power	left	a tart little lemon drop	an action film	the tone and pacing	the film's plot
the tooth and claw	the tooth and claw	of human power	of human power	right	of intelligence and wit	of a particular theatrical family	of humor and technological finish	for silly summer entertainment
an outrageous dark satire	an outrageous dark satire	on fraternity life	on fraternity life	left	a funny little movie	the genuinely funny jokes	a solid formula	the exuberant openness
an outrageous dark satire	an outrageous dark satire	on fraternity life	on fraternity life	right	of everyday people	of human foibles and contradictions	of urban kids	of the generation gap
the tone and pacing	the tone and pacing	are shockingly intimate	are shockingly intimate	left	the movie's messages	the points made	all the actors	action movies
the tone and pacing	the tone and pacing	are shockingly intimate	are shockingly intimate	right	are good for a laugh	make it strangely magnetic	are genuinely witty	can be fertile sources of humor
the humor and intelligence	the humor and intelligence	of the script	of the script	left	the kind of genuine depth	an admirable reconstruction	the wit and revolutionary spirit	a great ending
the humor and intelligence	the humor and intelligence	of the script	of the script	right	of this calibre	of addressing a complex situation	by all of the actors	of a particular theatrical family
A pure participatory event	a pure participatory event	that malnourished intellectuals	that malnourished intellectuals	left	the adrenaline jolt	an earnest debut	a carefully balanced scenario	an affectionately goofy satire
A pure participatory event	a pure participatory event	that malnourished intellectuals	that malnourished intellectuals	right	that curls at the edges	that's tough to shake	that detracts from its ending	that's all too suspiciously smooth
the ins and outs	the ins and outs	of modern moviemaking	of modern moviemaking	left	the most notable observation	the central performers	all the moments	the very concept
the ins and outs	the ins and outs	of modern moviemaking	of modern moviemaking	right	of a legal indictment	of his characters	of growing up	of character and mood
the very basic dictums	the very basic dictums	of human decency	of human decency	left	a listless climb	a slightly anarchic approach	this silly little puddle	its formidable arithmetic
the very basic dictums	the very basic dictums	of human decency	of human decency	right	of the modern male	of wit and dignity	of brotherly conflict and reconciliation	of neighborhood values
a deliberately unsteady mixture	a deliberately unsteady mixture	of stylistic elements	of stylistic elements	left	the difficult relationship	this silly little puddle	the real horror	the fanatical excess
a deliberately unsteady mixture	a deliberately unsteady mixture	of stylistic elements	of stylistic elements	right	of charisma and menace	of love and jealousy and sacrifice	of entertainment and education	of all of them
a cruelly hilarious vein	a cruelly hilarious vein	of black comedy	of black comedy	left	a rounded and revealing overview	the exuberant openness	the genuinely funny jokes	this engaging mix
a cruelly hilarious vein	a cruelly hilarious vein	of black comedy	of black comedy	right	of survival story	of its raw blues soundtrack	of a fall dawn	of life and death
A deliciously nonsensical comedy	a deliciously nonsensical comedy	about a city	about a city	left	a playful recapitulation	a moving experience	a genuinely honest moment	the best sports movie
A deliciously nonsensical comedy	a deliciously nonsensical comedy	about a city	about a city	right	of dislocation and change	of tabloid journalism	of office politics	of cell phones
the integrity and vision	the integrity and vision	of the band	of the band	left	the kind of genuine depth	this wonderful portrait	this unique and entertaining twist	the intelligent romantic comedy
the integrity and vision	the integrity and vision	of the band	of the band	right	of its characters' lives	of most contemporary comedies	of a very lively dream	of coherent dialogue
all the outward elements	all the outward elements	of the original	of the original	left	the same ideas	the complicated relationships	the performances of the young players	all the pieces
all the outward elements	all the outward elements	of the original	of the original	right	of her friendship	of black comedy	of its raw blues soundtrack	of an unlikely friendship
the most undeserving victim	the most undeserving victim	of critical overkill	of critical overkill	left	a deliberately unsteady mixture	a no+AC0-surprise series	the choking sense	the movie's sophomoric blend
the most undeserving victim	the most undeserving victim	of critical overkill	of critical overkill	right	of a truly frightening situation	of continuity errors	of a script in need of polishing	of grief and loss
The movie 's messages	the movie's messages	are quite admirable	are quite admirable	left	subjects like this	the additional storylines	all the performances	the executions of these twists
The movie 's messages	the movie's messages	are quite admirable	are quite admirable	right	were poetically romantic and full of indelible images	are honestly affecting	are top notch	are well told
the meaning and consolation	the meaning and consolation	in afterlife communications	in afterlife communications	left	the cultural and moral issues	the moral dilemma	the entire point	that greasy little vidgame pit
the meaning and consolation	the meaning and consolation	in afterlife communications	in afterlife communications	right	of the film	of her friendship	of magic and mischief	of my situation
a nearly terminal case	a nearly terminal case	of the cutes	of the cutes	left	an unsettled feeling	the endless pratfalls	a huge cut	his problematic quest
a nearly terminal case	a nearly terminal case	of the cutes	of the cutes	right	of good kids and bad seeds	of its energy	of real life	of the entire effort
a rather frightening examination	a rather frightening examination	of modern times	of modern times	left	all the earmarks	the overall impact	a forcefully quirky tone	all the religious and civic virtues
a rather frightening examination	a rather frightening examination	of modern times	of modern times	right	of the directing world	of pop+AC0-music history	of his characters	of an era
The film 's plot	the film's plot	may be shallow	may be shallow	left	this latest reincarnation	the filmed reading	the script's potential	the actresses in the lead roles
The film 's plot	the film's plot	may be shallow	may be shallow	right	does not live up to its style	is pretty cheesy	seems contrived and secondhand	makes a lick of sense
